Timestamp,kW
2022-10-19 06:00:00,0.184
2022-10-19 06:30:00,0.36
2022-10-19 07:00:00,0.583
2022-10-19 07:30:00,0.252
2022-10-19 08:00:00,1.225
2022-10-19 08:30:00,1.176
2022-10-19 09:00:00,0.27
2022-10-19 09:30:00,1.782
2022-10-19 10:00:00,2.345
2022-10-19 10:30:00,1.316
2022-10-19 11:00:00,2.227
2022-10-19 11:30:00,2.178
2022-10-19 12:00:00,1.138
2022-10-19 12:30:00,2.601
2022-10-19 13:00:00,0.3
2022-10-19 13:30:00,0.606
2022-10-19 14:00:00,1.496
2022-10-19 14:30:00,1.062
2022-10-19 15:00:00,0.894
2022-10-19 15:30:00,0.698
2022-10-19 16:00:00,0.608
2022-10-19 16:30:00,0.239
2022-10-19 17:00:00,0.165
2022-10-19 17:30:00,0.073
2022-10-19 18:00:00,0.046
2022-10-19 18:30:00,0.046
2022-10-19 19:00:00,0.0
2022-10-20 06:00:00,0.393
2022-10-20 06:30:00,0.543
2022-10-20 07:00:00,0.782
2022-10-20 07:30:00,1.573
2022-10-20 08:00:00,2.449
2022-10-20 08:30:00,1.793
2022-10-20 09:00:00,3.925
2022-10-20 09:30:00,4.251
2022-10-20 10:00:00,5.083
2022-10-20 10:30:00,2.135
2022-10-20 11:00:00,1.273
2022-10-20 11:30:00,1.097
2022-10-20 12:00:00,1.619
2022-10-20 12:30:00,2.201
2022-10-20 13:00:00,1.862
2022-10-20 13:30:00,0.76
2022-10-20 14:00:00,0.778
2022-10-20 14:30:00,2.324
2022-10-20 15:00:00,0.937
2022-10-20 15:30:00,0.827
2022-10-20 16:00:00,0.483
2022-10-20 16:30:00,0.363
2022-10-20 17:00:00,0.152
2022-10-20 17:30:00,0.113
2022-10-20 18:00:00,0.051
2022-10-20 18:30:00,0.051
2022-10-20 19:00:00,0.0
2022-10-21 06:00:00,0.211
2022-10-21 06:30:00,0.607
2022-10-21 07:00:00,0.222
2022-10-21 07:30:00,0.448
2022-10-21 08:00:00,1.098
2022-10-21 08:30:00,0.703
2022-10-21 09:00:00,2.432
2022-10-21 09:30:00,0.867
2022-10-21 10:00:00,0.873
2022-10-21 10:30:00,0.61
2022-10-21 11:00:00,2.615
2022-10-21 11:30:00,2.201
2022-10-21 12:00:00,1.881
2022-10-21 12:30:00,1.869
2022-10-21 13:00:00,2.619
2022-10-21 13:30:00,2.011
2022-10-21 14:00:00,4.187
2022-10-21 14:30:00,3.435
2022-10-21 15:00:00,1.301
2022-10-21 15:30:00,0.849
2022-10-21 16:00:00,1.389
2022-10-21 16:30:00,0.607
2022-10-21 17:00:00,0.243
2022-10-21 17:30:00,0.082
2022-10-21 18:00:00,0.049
2022-10-21 18:30:00,0.049
2022-10-21 19:00:00,0.0
2022-10-22 06:00:00,0.293
2022-10-22 06:30:00,0.318
2022-10-22 07:00:00,1.106
2022-10-22 07:30:00,1.351
2022-10-22 08:00:00,1.3
2022-10-22 08:30:00,2.303
2022-10-22 09:00:00,1.489
2022-10-22 09:30:00,1.031
2022-10-22 10:00:00,1.402
2022-10-22 10:30:00,2.645
2022-10-22 11:00:00,2.655
2022-10-22 11:30:00,2.057
2022-10-22 12:00:00,2.439
2022-10-22 12:30:00,1.224
2022-10-22 13:00:00,2.846
2022-10-22 13:30:00,2.602
2022-10-22 14:00:00,2.049
2022-10-22 14:30:00,1.996
2022-10-22 15:00:00,2.453
2022-10-22 15:30:00,1.899
2022-10-22 16:00:00,0.493
2022-10-22 16:30:00,0.535
2022-10-22 17:00:00,0.352
2022-10-22 17:30:00,0.123
2022-10-22 18:00:00,0.049
2022-10-22 18:30:00,0.049
2022-10-22 19:00:00,0.0
2022-10-23 06:00:00,0.115
2022-10-23 06:30:00,0.141
2022-10-23 07:00:00,0.153
2022-10-23 07:30:00,0.164
2022-10-23 08:00:00,0.118
2022-10-23 08:30:00,0.144
2022-10-23 09:00:00,0.451
2022-10-23 09:30:00,0.19
2022-10-23 10:00:00,0.312
2022-10-23 10:30:00,0.466
2022-10-23 11:00:00,0.279
2022-10-23 11:30:00,0.401
2022-10-23 12:00:00,0.517
2022-10-23 12:30:00,0.659
2022-10-23 13:00:00,0.568
2022-10-23 13:30:00,0.768
2022-10-23 14:00:00,0.413
2022-10-23 14:30:00,0.568
2022-10-23 15:00:00,0.538
2022-10-23 15:30:00,0.4
2022-10-23 16:00:00,0.393
2022-10-23 16:30:00,0.262
2022-10-23 17:00:00,0.122
2022-10-23 17:30:00,0.072
2022-10-23 18:00:00,0.049
2022-10-23 18:30:00,0.047
2022-10-23 19:00:00,0.0
2022-10-24 06:00:00,0.115
2022-10-24 06:30:00,0.156
2022-10-24 07:00:00,0.402
2022-10-24 07:30:00,0.386
2022-10-24 08:00:00,1.337
2022-10-24 08:30:00,1.381
2022-10-24 09:00:00,1.212
2022-10-24 09:30:00,0.733
2022-10-24 10:00:00,0.766
2022-10-24 10:30:00,0.76
2022-10-24 11:00:00,2.137
2022-10-24 11:30:00,0.927
2022-10-24 12:00:00,0.198
2022-10-24 12:30:00,0.242
2022-10-24 13:00:00,0.195
2022-10-24 13:30:00,0.522
2022-10-24 14:00:00,0.613
2022-10-24 14:30:00,0.419
2022-10-24 15:00:00,0.701
2022-10-24 15:30:00,0.768
2022-10-24 16:00:00,0.377
2022-10-24 16:30:00,0.373
2022-10-24 17:00:00,0.17
2022-10-24 17:30:00,0.056
2022-10-24 18:00:00,0.046
2022-10-24 18:30:00,0.047
2022-10-24 19:00:00,0.0
2022-10-25 06:00:00,0.43
2022-10-25 06:30:00,0.311
2022-10-25 07:00:00,1.027
2022-10-25 07:30:00,2.901
2022-10-25 08:00:00,0.755
2022-10-25 08:30:00,1.695
2022-10-25 09:00:00,0.812
2022-10-25 09:30:00,4.636
2022-10-25 10:00:00,1.648
2022-10-25 10:30:00,1.799
2022-10-25 11:00:00,4.519
2022-10-25 11:30:00,4.597
2022-10-25 12:00:00,4.581
2022-10-25 12:30:00,0.869
2022-10-25 13:00:00,0.288
2022-10-25 13:30:00,1.919
2022-10-25 14:00:00,3.548
2022-10-25 14:30:00,3.135
2022-10-25 15:00:00,0.753
2022-10-25 15:30:00,0.338
2022-10-25 16:00:00,0.167
2022-10-25 16:30:00,0.116
2022-10-25 17:00:00,0.084
2022-10-25 17:30:00,0.056
2022-10-25 18:00:00,0.046
2022-10-25 18:30:00,0.047
2022-10-25 19:00:00,0.0
2022-10-26 06:00:00,0.176
2022-10-26 06:30:00,0.548
2022-10-26 07:00:00,1.398
2022-10-26 07:30:00,1.762
2022-10-26 08:00:00,1.184
2022-10-26 08:30:00,1.881
2022-10-26 09:00:00,1.692
2022-10-26 09:30:00,0.825
2022-10-26 10:00:00,1.733
2022-10-26 10:30:00,3.612
2022-10-26 11:00:00,2.866
2022-10-26 11:30:00,1.373
2022-10-26 12:00:00,0.55
2022-10-26 12:30:00,4.638
2022-10-26 13:00:00,1.74
2022-10-26 13:30:00,3.296
2022-10-26 14:00:00,4.045
2022-10-26 14:30:00,2.655
2022-10-26 15:00:00,2.574
2022-10-26 15:30:00,1.024
2022-10-26 16:00:00,0.669
2022-10-26 16:30:00,0.3
2022-10-26 17:00:00,0.194
2022-10-26 17:30:00,0.103
2022-10-26 18:00:00,0.051
2022-10-26 18:30:00,0.05
2022-10-26 19:00:00,0.0
2022-10-27 06:00:00,0.214
2022-10-27 06:30:00,0.299
2022-10-27 07:00:00,1.029
2022-10-27 07:30:00,2.217
2022-10-27 08:00:00,3.27
2022-10-27 08:30:00,3.395
2022-10-27 09:00:00,1.277
2022-10-27 09:30:00,4.133
2022-10-27 10:00:00,4.239
2022-10-27 10:30:00,4.573
2022-10-27 11:00:00,4.456
2022-10-27 11:30:00,4.235
2022-10-27 12:00:00,4.187
2022-10-27 12:30:00,4.165
2022-10-27 13:00:00,4.547
2022-10-27 13:30:00,0.85
2022-10-27 14:00:00,0.785
2022-10-27 14:30:00,3.117
2022-10-27 15:00:00,2.571
2022-10-27 15:30:00,1.799
2022-10-27 16:00:00,1.335
2022-10-27 16:30:00,0.337
2022-10-27 17:00:00,0.195
2022-10-27 17:30:00,0.115
2022-10-27 18:00:00,0.051
2022-10-27 18:30:00,0.05
2022-10-27 19:00:00,0.0
2022-10-28 06:00:00,0.206
2022-10-28 06:30:00,0.425
2022-10-28 07:00:00,0.733
2022-10-28 07:30:00,2.567
2022-10-28 08:00:00,2.273
2022-10-28 08:30:00,3.74
2022-10-28 09:00:00,3.978
2022-10-28 09:30:00,1.444
2022-10-28 10:00:00,4.724
2022-10-28 10:30:00,4.399
2022-10-28 11:00:00,4.823
2022-10-28 11:30:00,4.384
2022-10-28 12:00:00,4.313
