Date,Capacity(kW),Generation(kWh),Income
2025-07-17,97.01,344.2,323.55
2025-07-18,97.01,338.4,318.1
2025-07-19,97.01,253.9,238.67
2025-07-20,97.01,343.3,322.7
2025-07-21,97.01,305.0,286.7
2025-07-22,97.01,328.9,309.17
2025-07-23,97.01,330.1,310.29
2025-07-24,97.01,319.5,300.33
2025-07-25,97.01,263.2,247.41
2025-07-26,97.01,215.5,202.57
2025-07-27,97.01,262.7,246.94
2025-07-28,97.01,306.6,288.2
2025-07-29,97.01,359.2,337.65
2025-07-30,97.01,289.5,272.13
2025-07-31,97.01,355.0,333.7
2025-08-01,97.01,370.5,348.27
2025-08-02,97.01,268.4,252.3
2025-08-03,97.01,312.6,293.84
2025-08-04,97.01,283.5,266.49
2025-08-05,97.01,289.4,272.04
2025-08-06,97.01,322.1,302.77
2025-08-07,97.01,355.7,334.36
2025-08-08,97.01,359.9,338.31
2025-08-09,97.01,383.4,360.4
2025-08-10,97.01,184.9,173.81
2025-08-11,97.01,200.1,188.09
2025-08-12,97.01,160.7,151.06
2025-08-13,97.01,246.8,231.99
2025-08-14,97.01,407.3,382.86
2025-08-15,97.01,334.3,314.24
2025-08-16,97.01,247.2,232.37
2025-08-17,97.01,321.8,302.49
2025-08-18,97.01,209.7,197.12
2025-08-19,97.01,285.8,268.65
2025-08-20,97.01,326.9,307.29
2025-08-21,97.01,352.7,331.54
2025-08-22,97.01,305.7,287.36
2025-08-23,97.01,284.8,267.71
2025-08-24,97.01,339.3,318.94
2025-08-25,97.01,267.1,251.07
2025-08-26,97.01,386.1,362.93
2025-08-27,97.01,380.8,357.95
2025-08-28,97.01,421.5,396.21
2025-08-29,97.01,336.2,316.03
2025-08-30,97.01,321.1,301.83
2025-08-31,97.01,282.8,265.83
2025-09-01,97.01,338.7,318.38
2025-09-02,97.01,331.4,311.52
2025-09-03,97.01,422.3,396.96
2025-09-04,97.01,282.7,265.74
2025-09-05,97.01,364.9,343.01
2025-09-06,97.01,454.4,427.14
2025-09-07,97.01,432.7,406.74
2025-09-08,97.01,201.3,189.22
2025-09-09,97.01,325.7,306.16
2025-09-10,97.01,449.7,422.72
2025-09-11,97.01,371.3,349.02
2025-09-12,97.01,336.4,316.22
2025-09-13,97.01,120.5,113.27
2025-09-14,97.01,201.3,189.22
2025-09-15,97.01,309.0,290.46
2025-09-16,97.01,329.5,309.73
2025-09-17,97.01,400.7,376.66
2025-09-18,97.01,183.3,172.3
2025-09-19,97.01,363.0,341.22
2025-09-20,97.01,233.8,219.77
2025-09-21,97.01,361.4,339.72
2025-09-22,97.01,432.6,406.64
2025-09-23,97.01,240.2,225.79
2025-09-24,97.01,354.4,333.14
2025-09-25,97.01,249.7,234.72
2025-09-26,97.01,315.4,296.48
2025-09-27,97.01,513.1,482.31
2025-09-28,97.01,421.2,395.93
2025-09-29,97.01,508.8,478.27
2025-09-30,97.01,340.4,319.98
2025-10-01,97.01,381.9,358.99
2025-10-02,97.01,364.4,342.54
2025-10-03,97.01,363.3,341.5
2025-10-04,97.01,402.2,378.07
2025-10-05,97.01,298.0,280.12
2025-10-06,97.01,388.8,365.47
2025-10-07,97.01,409.1,384.55
2025-10-08,97.01,302.0,283.88
2025-10-09,97.01,246.1,231.33
2025-10-10,97.01,356.1,334.73
2025-10-11,97.01,387.9,364.63
2025-10-12,97.01,332.4,312.46
2025-10-13,97.01,391.6,368.1
2025-10-14,97.01,258.8,243.27
2025-10-15,97.01,134.7,126.62
2025-10-16,97.01,254.6,239.32
2025-10-17,97.01,443.5,416.89
2025-10-18,97.01,457.7,430.24
2025-10-19,97.01,134.7,126.62
2025-10-20,97.01,142.9,134.33
2025-10-21,97.01,252.8,237.63
2025-10-22,97.01,415.5,390.57
2025-10-23,97.01,268.9,252.77
2025-10-24,97.01,300.0,282.0
2025-10-25,97.01,231.9,217.99
2025-10-26,97.01,413.7,388.88
2025-10-27,97.01,471.8,443.49
2025-10-28,97.01,442.5,415.95
2025-10-29,97.01,437.9,411.63
2025-10-30,97.01,309.6,291.02
2025-10-31,97.01,186.8,175.59
2025-11-01,97.01,346.2,325.43
2025-11-02,97.01,459.6,432.02
2025-11-03,97.01,432.9,406.93
2025-11-04,97.01,295.0,277.3
2025-11-05,97.01,424.5,399.03
2025-11-06,97.01,268.4,252.3
2025-11-07,97.01,194.0,182.36
2025-11-08,97.01,300.7,282.66
2025-11-09,97.01,250.4,235.38
2025-11-10,97.01,232.8,218.83
2025-11-11,97.01,206.1,193.73
2025-11-12,97.01,443.1,416.51
2025-11-13,97.01,334.0,313.96
2025-11-14,97.01,414.1,389.25
2025-11-15,97.01,394.3,370.64
2025-11-16,97.01,444.5,417.83
2025-11-17,97.01,266.2,250.23
2025-11-18,97.01,481.1,452.23
2025-11-19,97.01,273.0,256.62
2025-11-20,97.01,538.6,506.28
2025-11-21,97.01,542.7,510.14
2025-11-22,97.01,563.6,529.78
2025-11-23,97.01,299.4,281.44
2025-11-24,97.01,115.3,108.38
2025-11-25,97.01,424.7,399.22
2025-11-26,97.01,210.4,197.78
2025-11-27,97.01,468.4,440.3
2025-11-28,97.01,351.5,330.41
2025-11-29,97.01,469.3,441.14
2025-11-30,97.01,515.9,484.95
2025-12-01,97.01,469.8,441.61
2025-12-02,97.01,558.0,524.52
2025-12-03,97.01,193.2,181.61
2025-12-04,97.01,235.0,220.9
2025-12-05,97.01,372.5,350.15
2025-12-06,97.01,231.6,217.7
2025-12-07,97.01,321.7,302.4
2025-12-08,97.01,465.3,437.38
2025-12-09,97.01,460.1,432.49
2025-12-10,97.01,350.6,329.56
2025-12-11,97.01,459.9,432.31
2025-12-12,97.01,444.5,417.83
2025-12-13,97.01,324.7,305.22
2025-12-14,97.01,299.4,281.44
2025-12-15,97.01,428.0,402.32
2025-12-16,97.01,376.8,354.19
2025-12-17,97.01,435.3,409.18
2025-12-18,97.01,368.1,346.01
2025-12-19,97.01,450.0,423.0
2025-12-20,97.01,225.7,212.16
2025-12-21,97.01,457.8,430.33
2025-12-22,97.01,411.4,386.72
2025-12-23,97.01,456.1,428.73
2025-12-24,97.01,441.3,414.82
2025-12-25,97.01,481.0,452.14
2025-12-26,97.01,535.7,503.56
2025-12-27,97.01,495.7,465.96
2025-12-28,97.01,526.7,495.1
2025-12-29,97.01,559.0,525.46
2025-12-30,97.01,503.1,472.91
2025-12-31,97.01,482.7,453.74
