,Capacity(kW),Generation(kWh),Income,GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,cloud_clear_mean,cloud_medium_mean,cloud_dense_mean,cloud_extreme_mean,sin_day,cos_day
2024-05-13,97.01,156.4,147.02,5329,7845,801,27.587500000000002,33.6,76.40625,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.7454378568683001,-0.6665751282095632
2024-05-14,97.01,368.3,346.2,5386,7937,806,27.400000000000002,33.9,75.09291666666667,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.7338853664321991,-0.6792733388972931
2024-05-15,97.01,337.4,317.16,5047,6570,1173,27.02916666666667,30.5,81.19083333333333,0.0,0.4166666666666667,0.5416666666666666,0.041666666666666664,0.0,0.722116596610116,-0.6917713646142222
2024-05-16,97.01,307.7,289.24,4560,5276,1768,26.816666666666666,30.6,79.45916666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.7101350157125358,-0.7040655221348058
2024-05-17,97.01,328.2,308.51,4922,7032,817,26.829166666666666,31.3,81.34875000000001,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,0.6979441547663435,-0.7161521883143933
2024-05-18,97.01,307.2,288.77,4735,7122,739,26.3625,31.1,78.8225,0.0,0.7083333333333334,0.2916666666666667,0.0,0.0,0.6855476064742155,-0.7280278011569847
2024-05-19,97.01,326.9,307.29,5159,7571,859,26.245833333333334,31.3,77.23333333333333,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.672949024155833,-0.7396888608649667
2024-05-20,97.01,336.5,316.31,4913,6965,1010,26.099999999999998,30.4,71.73291666666667,0.0,0.875,0.125,0.0,0.0,0.660152120671232,-0.7511319308705197
2024-05-21,97.01,342.8,322.23,5172,7831,783,25.6125,29.700000000000003,76.42666666666666,0.0,0.7916666666666666,0.20833333333333334,0.0,0.0,0.647160667326606,-0.7623536388483902
2024-05-22,97.01,288.3,271.0,4826,7018,1071,25.758333333333336,29.8,75.13625,0.0,0.75,0.25,0.0,0.0,0.6339784927628868,-0.7733506777097298
