,Generation(kWh),GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,Cloud Type_mean,sin_day,cos_day
2024-03-20,388.7,6494,8025,1135,27.958333333333332,31.8,80.95583333333333,0.0,2.0833333333333335,0.9805753940631429,0.19614254142819698
2024-03-21,396.8,7043,8687,1091,28.229166666666668,32.2,82.38583333333334,0.0,0.25,0.9837979515735163,0.17928075881073577
2024-03-22,239.1,5866,5287,2429,28.27916666666667,32.2,85.77125000000001,0.0,3.9583333333333335,0.9867305793119814,0.162366141330764
2024-03-23,231.2,2186,864,1768,26.879166666666666,28.9,92.27458333333334,0.0,5.958333333333333,0.989372413019683,0.14540367380368976
2024-03-24,223.3,6994,9078,919,26.733333333333334,29.700000000000003,86.45708333333334,0.0,1.0,0.9917226741361015,0.12839835514655099
2024-03-25,394.5,6132,6493,1830,26.754166666666666,30.5,85.69833333333334,0.0,3.4166666666666665,0.9937806700284985,0.11135519690480875
2024-03-26,377.3,5895,5083,1995,27.420833333333334,31.200000000000003,86.87,0.0,4.208333333333333,0.9955457941960382,0.09427922177542453
2024-03-27,394.0,5451,5009,2031,26.84583333333333,30.1,87.195,0.0,3.6666666666666665,0.9970175264485267,0.07717546212664653
2024-03-28,449.6,5781,5916,1813,27.358333333333334,31.3,83.62833333333333,0.0,3.0,0.998195433059714,0.0600489585149486
2024-03-29,369.8,5182,4672,2324,27.77916666666667,31.3,83.7025,0.0,3.2083333333333335,0.9990791668951153,0.042904758199554374
2024-03-30,444.5,6055,6277,1744,27.90833333333333,31.6,86.5625,0.0,3.8333333333333335,0.999668467514313,0.025747913654988658
2024-03-31,421.2,6136,6484,1360,27.266666666666666,30.9,85.62124999999999,0.0,3.8333333333333335,0.9999631612477099,0.008583481082087055
2024-04-01,448.5,6214,6990,1741,26.454166666666666,30.3,82.57833333333333,0.0,2.0,0.9999631612477099,-0.008583481082086933
2024-04-02,266.9,4957,3935,2522,27.391666666666666,31.6,79.97958333333334,0.0,3.7916666666666665,0.9996684675143132,-0.025747913654988314
2024-04-03,275.6,3746,1755,2485,27.1125,30.700000000000003,89.55166666666666,0.0,6.583333333333333,0.9990791668951153,-0.04290475819955447
2024-04-04,161.0,6469,8029,1183,27.395833333333332,30.8,83.465,0.0,1.1666666666666667,0.998195433059714,-0.06004895851494825
2024-04-05,314.8,5609,5946,2039,27.05,31.200000000000003,81.79666666666667,0.0,1.7083333333333333,0.9970175264485267,-0.07717546212664618
2024-04-06,447.9,6717,8824,1000,26.133333333333336,30.0,77.48125,0.0,0.8333333333333334,0.9955457941960382,-0.0942792217754244
2024-04-07,413.4,6435,8130,1221,26.183333333333334,29.700000000000003,77.49458333333334,0.0,0.3333333333333333,0.9937806700284985,-0.11135519690480862
2024-04-08,387.0,5295,4929,2059,26.55,30.700000000000003,78.9525,0.0,1.9583333333333333,0.9917226741361015,-0.12839835514655107
2024-04-09,381.7,5721,6473,1572,27.295833333333334,31.700000000000003,77.94333333333333,0.0,3.5,0.9893724130196829,-0.14540367380368988
2024-04-10,383.4,5653,5930,1767,27.724999999999998,32.0,78.80333333333333,0.0,2.0833333333333335,0.9867305793119814,-0.16236614133076366
2024-04-11,406.8,6334,8420,909,27.59583333333333,31.9,81.68166666666666,0.0,1.4583333333333333,0.9837979515735163,-0.17928075881073566
2024-04-12,318.6,4161,2161,2900,26.75,30.4,84.62708333333333,0.0,2.5833333333333335,0.980575394063143,-0.19614254142819687
2024-04-13,376.5,5739,6996,1248,26.375,29.700000000000003,81.20583333333333,0.0,1.375,0.9770638564833507,-0.21294651993841593
2024-04-14,421.6,5622,6190,1623,26.450000000000003,30.200000000000003,80.59833333333334,0.0,0.75,0.9732643737003824,-0.22968774213179563
2024-04-15,387.0,5626,6467,1533,26.379166666666666,30.0,78.67708333333333,0.0,1.2083333333333333,0.9691780654392537,-0.2463612742933147
2024-04-16,265.0,6036,7636,1119,26.191666666666666,29.700000000000003,75.68041666666666,0.0,0.7916666666666666,0.9648061359537646,-0.26296220265651454
2024-04-17,398.8,5290,6151,1748,26.566666666666666,30.6,73.78458333333333,0.0,1.0416666666666667,0.9601498736716018,-0.2794856348516094
2024-04-18,331.3,5182,5226,1639,26.820833333333336,31.4,79.10000000000001,0.0,2.375,0.9552106508146317,-0.2959267013472892
2024-04-19,215.3,2457,508,2089,24.099999999999998,25.9,88.24291666666666,0.0,4.333333333333333,0.949989922994501,-0.31228055688579476
2024-04-20,327.5,4224,3482,2327,24.78333333333333,28.200000000000003,81.34833333333334,0.0,1.5,0.9444892287836613,-0.32854238191083474
2024-04-21,345.0,4183,2895,2636,24.6125,28.4,81.84125,0.0,1.75,0.9387101892619443,-0.3447073839879337
2024-04-22,229.9,3797,3182,1669,25.616666666666664,29.200000000000003,89.15916666666668,0.0,1.5833333333333333,0.9326545075388225,-0.3607707992167831
2024-04-23,327.5,5564,7250,1016,26.40833333333333,30.4,84.73375,0.0,0.5,0.926323968251495,-0.376727893635185
2024-04-24,367.1,5879,8113,865,26.870833333333334,31.700000000000003,81.92791666666666,0.0,0.25,0.9197204370389467,-0.39257396461417177
2024-04-25,384.2,4988,4883,2020,26.633333333333336,31.0,84.83875,0.0,1.9583333333333333,0.9128458599921355,-0.40830434224389345
2024-04-26,182.1,3123,2354,1866,25.912499999999998,29.8,88.235,0.0,1.8333333333333333,0.9057022630804715,-0.42391439070986064
2024-04-27,376.2,5013,5786,1285,25.175,28.8,77.75416666666666,0.0,0.5416666666666666,0.898291751554753,-0.43939950965914143
2024-04-28,411.2,5799,8185,838,25.950000000000003,31.3,77.35958333333333,0.0,0.08333333333333333,0.8906165093267405,-0.4547551355561055
2024-04-29,395.4,5699,7997,847,26.895833333333332,31.9,82.72333333333334,0.0,0.20833333333333334,0.8826787983255476,-0.4699767430273197
2024-04-30,352.6,5425,7367,1165,26.42916666666667,30.6,79.40791666666667,0.0,0.5833333333333334,0.8744809578310397,-0.4850598461951961
2024-05-01,336.3,5176,6614,1169,26.254166666666666,31.3,78.27625,0.0,0.5416666666666666,0.8660254037844387,-0.4999999999999998
2024-05-02,356.6,5459,7461,1129,26.55,31.700000000000003,80.47083333333333,0.0,0.25,0.8573146280763323,-0.5147928015098308
2024-05-03,393.4,5693,8199,819,27.099999999999998,32.6,80.84208333333333,0.0,0.041666666666666664,0.848351197812304,-0.5294338912181852
2024-05-04,382.7,5640,8023,858,26.72083333333333,30.6,80.65125,0.0,0.5,0.8391377545563939,-0.5439189543287246
2024-05-05,333.3,5096,6536,1162,26.470833333333335,30.1,84.90083333333332,0.0,1.5833333333333333,0.8296770135526188,-0.5582437220268649
2024-05-06,334.9,5377,6852,1153,26.766666666666666,30.200000000000003,79.95083333333334,0.0,1.0833333333333333,0.8199717629247771,-0.5724039727378148
2024-05-07,247.8,3618,2612,2227,26.845833333333335,30.8,81.23,0.0,1.7083333333333333,0.8100248628547752,-0.5863955333706956
2024-05-08,307.3,4353,5296,1674,26.712500000000002,30.6,83.41708333333334,0.0,1.125,0.7998392447397195,-0.600214280548368
2024-05-09,229.4,3908,4156,1567,26.733333333333334,30.5,84.39833333333333,0.0,1.25,0.7894179103280199,-0.6138561418226116
2024-05-10,293.9,3954,2899,2195,26.90416666666667,30.8,82.12583333333333,0.0,2.4583333333333335,0.7787639308347607,-0.6273170968742938
2024-05-11,358.2,5102,6860,933,27.2375,31.700000000000003,76.75541666666668,0.0,0.5833333333333334,0.7678804460366001,-0.6405931786981751
2024-05-12,357.9,5290,7662,878,27.254166666666666,32.6,76.06875000000001,0.0,0.4166666666666667,0.7567706633464627,-0.6536804747720057
2024-05-13,156.4,5329,7845,801,27.587500000000002,33.6,76.40625,0.0,0.16666666666666666,0.7454378568683001,-0.6665751282095632
2024-05-14,368.3,5386,7937,806,27.400000000000002,33.9,75.09291666666667,0.0,0.20833333333333334,0.7338853664321991,-0.6792733388972931
2024-05-15,337.4,5047,6570,1173,27.02916666666667,30.5,81.19083333333333,0.0,1.0416666666666667,0.722116596610116,-0.6917713646142222
2024-05-16,307.7,4560,5276,1768,26.816666666666666,30.6,79.45916666666666,0.0,1.0416666666666667,0.7101350157125358,-0.7040655221348058
